# Global/data names adopted in config/symbols.main.exe.txt.
# datamatch     = reference alignment inside functions named on both sides
#                 (tools/datamatch.py; 100% control precision on 105 addrs)
# datamatch-reloc = the same reference alignment after inferring PSX.SYM data
#                   -> demo PSX.EXE data relocation from 323/323 unique anchors;
#                   raw reverse uniqueness and duplicate-static TU checks apply.
# ghidra-export = already named in the Ghidra program for THIS binary but
#                 never adopted, because import_symbols could only rename
#                 existing entries, not define new ones.
# The historical ghidra-export batch also contains address-keyed SDK/text labels;
# the source column records provenance rather than asserting storage section.
#addr	name	source	evidence	storage	type
8008f2a0	CD_cbsync	datamatch-reloc	VOTES8;PSX=8008e4d4;DEMO=8008e82c;WITNESSES=CD_cw,CD_init,CD_initintr,CD_sync,CdControl,CdControlB,CdControlF,CdSyncCallback	?	?
8008f2a4	CD_cbready	datamatch-reloc	VOTES5;PSX=8008e4d8;DEMO=8008e830;WITNESSES=CD_cw,CD_init,CD_initintr,CD_sync,CdReadyCallback	?	?
8008f2a8	CD_debug	datamatch-reloc	VOTES6;PSX=8008e4e0;DEMO=8008e838;WITNESSES=CD_cw,CdSetDebug,ISO9660_OBJ_108,ISO9660_OBJ_2F8,ISO9660_OBJ_660,ISO9660_OBJ_7F0	?	?
8008f2ac	CD_status	datamatch-reloc	VOTES5;PSX=8008e4e4;DEMO=8008e83c;WITNESSES=CD_init,CdControl,CdControlB,CdControlF,CdStatus	?	?
8008f2b0	CD_status1	datamatch-reloc	VOTES2;PSX=8008e4e8;DEMO=8008e840;WITNESSES=CD_init,CD_initintr	?	?
8008f2bc	CD_mode	datamatch-reloc	VOTES3;PSX=8008e4f4;DEMO=8008e84c;WITNESSES=CD_cw,CD_init,CdMode	?	?
8008f2bd	CD_com	datamatch-reloc	VOTES5;PSX=8008e4f5;DEMO=8008e84d;WITNESSES=CD_cw,CD_datasync,CD_init,CD_sync,CdLastCom	?	?
8008f2c4	CD_comstr	datamatch-reloc	VOTES3;PSX=8008e4fc;DEMO=8008e854;WITNESSES=CD_cw,CD_datasync,CD_sync	?	?
8008f344	CD_intstr	datamatch-reloc	VOTES3;PSX=8008e57c;DEMO=8008e8d4;WITNESSES=CD_cw,CD_datasync,CD_sync	?	?
8008f7d8	_snd_vmask	datamatch-reloc	VOTES4;PSX=8008e92c;DEMO=8008ec84;WITNESSES=SsUtAllKeyOff,_SsVmSeqKeyOff,_SsVmSetSeqVol,vmNoiseOn	?	?
8008f990	_spu_rev_reserve_wa	datamatch-reloc	VOTES2;PSX=8008eb54;DEMO=8008eeac;WITNESSES=SpuMalloc,_SpuInit	?	?
8008f994	_spu_rev_offsetaddr	datamatch-reloc	VOTES2;PSX=8008eb58;DEMO=8008eeb0;WITNESSES=SpuMalloc,_SpuInit	?	?
8008f9b0	_spu_RQmask	datamatch-reloc	VOTES2;PSX=8008eb74;DEMO=8008eecc;WITNESSES=_SpuInit,_SpuSetAnyVoice	?	?
8008f9e4	_spu_env	datamatch-reloc	VOTES2;PSX=8008efa8;DEMO=8008f300;WITNESSES=_SpuInit,_SpuSetAnyVoice	?	?
8008f9f8	_spu_RXX	datamatch-reloc	VOTES12;PSX=8008efbc;DEMO=8008f314;WITNESSES=SPU_OBJ_280,SPU_OBJ_390,SPU_OBJ_D4,S_SVA_OBJ_1A0,S_SVA_OBJ_280,S_SVA_OBJ_480,SpuSetVoiceAttr,_SpuSetAnyVoice,_spu_FsetRXX,_spu_FsetRXXa,_spu_init,_spu_t	?	?
8008fa10	_spu_tsa	datamatch-reloc	VOTES6;PSX=8008efd4;DEMO=8008f32c;WITNESSES=SPU_OBJ_280,SPU_OBJ_D4,SpuSetTransferStartAddr,_spu_Fw,_spu_init,_spu_t	?	?
8008fa14	_spu_transMode	datamatch-reloc	VOTES3;PSX=8008efd8;DEMO=8008f330;WITNESSES=_SpuInit,_spu_Fw,_spu_init	?	?
8008fa1c	_spu_mem_mode	datamatch-reloc	VOTES2;PSX=8008efe0;DEMO=8008f338;WITNESSES=SPU_OBJ_D4,_spu_FsetRXXa	?	?
8008fa20	_spu_mem_mode_plus	datamatch-reloc	VOTES8;PSX=8008efe4;DEMO=8008f33c;WITNESSES=SPU_OBJ_D4,S_M_M_OBJ_54,SpuMalloc,SpuSetTransferStartAddr,_spu_FsetRXX,_spu_FsetRXXa,_spu_Fw,_spu_t	?	?
8008fa24	_spu_mem_mode_unit	datamatch-reloc	VOTES2;PSX=8008efe8;DEMO=8008f340;WITNESSES=SPU_OBJ_D4,_spu_FsetRXXa	?	?
8008fa28	_spu_mem_mode_unitM	datamatch-reloc	VOTES3;PSX=8008efec;DEMO=8008f344;WITNESSES=SPU_OBJ_D4,S_M_M_OBJ_54,_spu_FsetRXXa	?	?
8008fa58	_spu_AllocBlockNum	datamatch-reloc	VOTES4;PSX=8008f01c;DEMO=8008f374;WITNESSES=S_M_M_OBJ_12C,S_M_M_OBJ_54,SpuFree,_SpuInit	?	?
8008fa5c	_spu_AllocLastNum	datamatch-reloc	VOTES5;PSX=8008f020;DEMO=8008f378;WITNESSES=S_M_INT_OBJ_270,S_M_INT_OBJ_C4,S_M_M_OBJ_12C,_SpuInit,_spu_gcSPU	?	?
8008fa60	_spu_memList	datamatch-reloc	VOTES7;PSX=8008f024;DEMO=8008f37c;WITNESSES=S_M_INT_OBJ_270,S_M_INT_OBJ_C4,S_M_M_OBJ_12C,S_M_M_OBJ_54,SpuFree,_SpuInit,_spu_gcSPU	?	?
80096868	Font	datamatch-reloc	VOTES3;PSX=80095b2c;DEMO=80095e84;WITNESSES=FntFlush,FntLoad,FntPrint	?	?
80097444	GPU_printf	datamatch-reloc	VOTES13;PSX=80096748;DEMO=80096aa0;WITNESSES=ClearOTag,ClearOTagR,DrawOTag,DrawOTagEnv,DrawSync,DrawSyncCallback,PutDispEnv,PutDrawEnv,ResetGraph,SetDispMask,SetDumpFnt,SetGraphDebug,SetGraphQueue	?	?
80097b1e	SelectedItem	datamatch-reloc	VOTES8;PSX=80097ebe;DEMO=80098216;WITNESSES=ActCHASE,ActENGAGE,ActITEM,ActMOVE,ActNORMAL,ActSWIM,ItemControl,PutItemList	EXT	short
80097b20	ItemCursor	datamatch-reloc	VOTES2;PSX=80097ec0;DEMO=80098218;WITNESSES=DoInfoViewProc,PutItemList	STAT	short
80097cb0	StageSE	datamatch-reloc	VOTES2;PSX=80098064;DEMO=800983bc;WITNESSES=SetupSoundEffect,SoundEx	EXT	struct SoundEffect *
80097cb4	VoiceMode	datamatch-reloc	VOTES2;PSX=80098068;DEMO=800983c0;WITNESSES=CVAsequence,Sound	EXT	short
80097cb8	CVAdata	datamatch-reloc	VOTES2;PSX=8009806c;DEMO=800983c4;WITNESSES=CVAsequence,CVAsetup	STAT	struct CVAType *
80097cbc	CVAnow	datamatch-reloc	VOTES4;PSX=80098070;DEMO=800983c8;WITNESSES=AVCameraSetup,CVArun,CVAsequence,CVAupdate	STAT	struct CVAType *
80097cc4	CameraTarget	datamatch-reloc	VOTES3;PSX=80098078;DEMO=800983d0;WITNESSES=AVCameraControl,AVCameraSetup,CVAupdate	STAT	struct Humanoid *
80097cca	CameraPanMode	datamatch-reloc	VOTES2;PSX=8009807e;DEMO=800983d6;WITNESSES=AVCameraControl,CVAupdate	STAT	short
80097d04	TENCHU_ID	datamatch-reloc	VOTES3;PSX=800980c8;DEMO=80098420;WITNESSES=DeleteCard,LoadCard,SaveCard	STAT	unsigned char *
80097d44	CurrentEnemyID	datamatch-reloc	VOTES2;PSX=80097ef0;DEMO=80098248;WITNESSES=AddEnemy,LayoutEnemyOption	STAT	int
80097d8c	CID	datamatch-reloc	VOTES2;PSX=80097ec8;DEMO=80098220;WITNESSES=LoadSI,SaveSI	STAT	unsigned char *
80097e90	AdtPadRead	datamatch-reloc	VOTES3;PSX=800980e0;DEMO=80098438;WITNESSES=AdtMessageBox,AdtSelect,main	?	?
80097f0e	motMODE	datamatch-reloc	VOTES28;PSX=8009814a;DEMO=800984a2;WITNESSES=ActACTION,ActATTACK,ActCHASE,ActDAMAGE,ActENGAGE,ActHANG,ActITEM,ActJUMP,ActKAGI,ActMOVE,ActNORMAL,ActSQUAT,ActSTATE,ActSTICKON,ActSWIM,ActSYURI,AttackControl,DamageControl,FallCheck,HangCheck,HumanActionControl,ItemControl,JumpControl,MotionAndMove,NowReturnNormal,ReturnNormal,StickonCheck,SwimCheck	STAT	short
80097f28	ModelHook	datamatch-reloc	VOTES2;PSX=80098158;DEMO=800984b0;WITNESSES=InitEffect,SetWire	STAT	struct ModelType *
80097f48	SyurikenModel	datamatch-reloc	VOTES3;PSX=80098180;DEMO=800984d8;WITNESSES=InitializeItem,ReqItemLaunch,ReqItemUse	STAT	struct ModelType *
80097f4c	ArrowModel	datamatch-reloc	VOTES2;PSX=80098184;DEMO=800984dc;WITNESSES=InitializeItem,ReqItemArrow	STAT	struct ModelType *
